"video_id","question","answer","pred_answer","task"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What task is being performed with vegetables?","Chopping vegetables.","The task being performed with vegetables is chopping and preparing them for the next step in the cooking process.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What step is being taken with flatbread?","Wrapping sauce in flatbread.","The person is preparing to place the flatbread into a pan filled with chili.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What kitchen fixture is being utilized?","Opening a cabinet.","A stove is being utilized in the kitchen.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What's the overview of the action in the clip?","Preparing ingredients for a meal.","The clip shows a person preparing food in a kitchen, specifically making tortillas and adding them to a pot of chili. The scene includes various ingredients on the counter, such as onions, tomatoes, and other vegetables, along with cooking utensils like a frying pan and a large knife.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does the video show someone chopping vegetables?","Yes.","Yes","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Did the individual successfully open a kitchen cabinet?","Yes.","Yes, the individual successfully opened a kitchen cabinet to retrieve an ingredient.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the flatbread being seasoned with sauce?","Yes.","Yes.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is there an occurrence of food being wrapped?","Yes.","Yes.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the person using a knife for cooking tasks?","Yes.","Yes.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What is the location in the video clip?","A kitchen.","The location is a kitchen.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What kitchen activity is underway in the clip?","Cutting vegetables.","The clip shows a person preparing food in the kitchen, specifically chopping tomatoes and garlic on a cutting board.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What tool does the person in the video use?","Knives.","The person in the video uses a large knife to slice the tomatoes/INFO","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What appliance does the person in the video handle?","The heat regulator of the cooker.","The person in the video handles a large knife and a tomato.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What part of the kitchen furniture does the person interact with?","Drawers.","The person interacts with the kitchen cabinets and drawers.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","How is the person controlling the cooking temperature?","Operating the heat regulator.","The person is using a stove burner to control the heat of the pot on the stovetop.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What can be inferred from the person's actions with the drawers?","Searching or organizing.","The person's actions with the drawers suggest that they are organizing or preparing ingredients for a meal.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does the clip show any cooking taking place?","No direct cooking, only preparation.","Yes, the clip shows a person preparing food/INFO","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Did the person successfully cut the vegetables?","Yes.","Yes, the person successfully cut the tomatoes into smaller pieces.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Was the heat regulator adjusted to a specific level?","Yes, it was operated.","Yes, the heat regulator was turned on to a medium level.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Did the person use any other kitchen tools besides knives?","Heat regulator only mentioned.","Yes, the person also used a spoon to scoop out the tomato pieces and then placed them on the cutting board.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the cabinet opened before wrapping the sauce in flat bread?","No","No, the cabinet is not visible in the image.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Do I cut vegetables before operating the heat regulator on the cooker?","Yes","No, you should not cut the tomatoes/INFO","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the drawer opened before the vegetables are chopped?","No","No, the vegetables are not yet chopped.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does wrapping sauce in flat bread happen after cutting vegetables?","Yes","After cutting the vegetables, they are placed on a plate and wrapped in foil.","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Do I open the cabinet before chopping the vegetables?","No","No, you should not open the oven/INFO","Order Judging(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What occurs just before wrapping the sauce in flat bread?","Chopping vegetables","The video shows a close-up of the kitchen/INFO","What event order"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What takes place right before operating the heat regulator of the cooker?","Cutting vegetables with knives","The video does not provide information about the specific actions or events that occur before operating the heat regulator of the stove.","What event order"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What setting is shown in this video clip?","A kitchen.","The setting shown in this video clip is a kitchen where the preparation of tacos and burritos is taking place.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What task is being performed with tomatoes?","Cutting tomatoes.","The task being performed with tomatoes is adding them to the pot of chili.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is there an electronic device being used in this scene?","Yes, a mobile phone.","Yes.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","How is the sauce being utilized in the cooking process?","By spreading it on flatbreads.","The sauce is being poured over the rolled tortillas, which are then placed into a pan on the stove.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What activity is occurring aside from food preparation?","Operating a mobile phone.","Aside from food preparation, there is a person using a smartphone to take photos or videos of the cooking process.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What manual task is depicted involving food items?","Cutting vegetables, specifically tomatoes.","The manual task depicted involves rolling tortillas and scooping filling from a pot.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is someone chopping vegetables in the video?","Yes.","Yes.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the sauce being poured into a bowl?","No, it's being rolled in flatbreads.","No.","Whether Something Happened(Y/N)"
