video_id,question,answer,pred_answer,task
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with vegetables?,Chopping vegetables.,The task being performed with vegetables is chopping and mixing them with the other ingredients in the pot.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What step is being taken with flatbread?,Wrapping sauce in flatbread.,The person is preparing flatbread by spreading a mixture of ingredients on it.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen fixture is being utilized?,Opening a cabinet.,A stove is being utilized in the kitchen.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What's the overview of the action in the clip?,Preparing ingredients for a meal.,"The clip shows a person preparing a dish in a kitchen, starting with chopping vegetables and then adding them to a pot. The scene transitions to the person cooking a dish, with the kitchen counter filled with various ingredients and utensils.",Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video show someone chopping vegetables?,Yes.,Yes,Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the individual successfully open a kitchen cabinet?,Yes.,"Yes, the individual successfully opened a kitchen cabinet to access the ingredients.",Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the flatbread being seasoned with sauce?,Yes.,Yes,Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an occurrence of food being wrapped?,Yes.,Yes.,Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the person using a knife for cooking tasks?,Yes.,Yes.,Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the location in the video clip?,A kitchen.,The location is a kitchen.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen activity is underway in the clip?,Cutting vegetables.,"The kitchen activity underway in the clip is preparing a dish, specifically making tortillas.",Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What tool does the person in the video use?,Knives.,The person uses a large knife to cut the tomatoes.,Scene Summary
