video_id,question,answer,pred_answer,task
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with vegetables?,Chopping vegetables.,The task being performed with vegetables is chopping and mixing them with the other ingredients.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What step is being taken with flatbread?,Wrapping sauce in flatbread.,The person is preparing flatbread by spreading a mixture of ingredients on it.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen fixture is being utilized?,Opening a cabinet.,A kitchen island is being utilized.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What's the overview of the action in the clip?,Preparing ingredients for a meal.,"The clip shows a person preparing a meal in a kitchen, focusing on the preparation of a dish that includes ingredients such as tomatoes, onions, and peppers. The scene includes various kitchen items like a cutting board, a knife, a bowl, and a cutting board with chopped tomatoes. The person is seen chopping the tomatoes and adding them to a bowl. The kitchen is well-lit, and the person is seen mixing the ingredients in a bowl. The video concludes with the person holding a bowl of chopped tomatoes and a bowl of chopped vegetables, ready to be added to the dish.",Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video show someone chopping vegetables?,Yes.,Yes,Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the individual successfully open a kitchen cabinet?,Yes.,"Yes, the individual successfully opened a kitchen cabinet to retrieve a red item.",Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the flatbread being seasoned with sauce?,Yes.,Yes.,Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an occurrence of food being wrapped?,Yes.,Yes.,Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the person using a knife for cooking tasks?,Yes.,Yes.,Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the location in the video clip?,A kitchen.,The location is a kitchen.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen activity is underway in the clip?,Cutting vegetables.,"The kitchen activity underway in the clip is preparing tortillas, with the person peeling and chopping garlic and onions.",Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What tool does the person in the video use?,Knives.,The person uses a large knife to cut the tomatoes.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What appliance does the person in the video handle?,The heat regulator of the cooker.,The person in the video handles a stove.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What part of the kitchen furniture does the person interact with?,Drawers.,The person interacts with the kitchen cabinets and drawers.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the person controlling the cooking temperature?,Operating the heat regulator.,The person is using a black-handled knife to turn the stove burner.,Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What can be inferred from the person's actions with the drawers?,Searching or organizing.,"The person's actions with the drawers suggest that they are organizing or storing the kitchen items, indicating a sense of order and tidiness in the kitchen.",Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the clip show any cooking taking place?,"No direct cooking, only preparation.","Yes, the clip shows the preparation of tortillas, with the person adding ingredients to the tortillas and then placing them into the oven.",Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person successfully cut the vegetables?,Yes.,"Yes, the person successfully cut the tomatoes into smaller pieces.",Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Was the heat regulator adjusted to a specific level?,"Yes, it was operated.","Yes, the heat regulator was adjusted to a specific level.",Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person use any other kitchen tools besides knives?,Heat regulator only mentioned.,"Yes, the person also used a grater to grate the cheese.",Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the cabinet opened before wrapping the sauce in flat bread?,No,Yes.,Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I cut vegetables before operating the heat regulator on the cooker?,Yes,"Yes, you must cut vegetables before operating the heat regulator on the cooker.",Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the drawer opened before the vegetables are chopped?,No,Yes.,Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does wrapping sauce in flat bread happen after cutting vegetables?,Yes,"Yes, after cutting vegetables, the person places the sliced tomatoes on a cutting board and then proceeds to wrap the flat bread in a tortilla, following the instructions provided.",Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I open the cabinet before chopping the vegetables?,No,"Yes, you open the cabinet before chopping the vegetables.",Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs just before wrapping the sauce in flat bread?,Chopping vegetables,"Just before wrapping the sauce in flat bread, the person places the garlic cloves on the cutting board and picks up a red bell pepper.",What event order
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What takes place right before operating the heat regulator of the cooker?,Cutting vegetables with knives,"A person is seen holding a black-handled knife, preparing to open the oven door.",What event order
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What setting is shown in this video clip?,A kitchen.,The setting shown in this video clip is a kitchen.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with tomatoes?,Cutting tomatoes.,The task being performed with tomatoes is adding them to the pot of chili.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an electronic device being used in this scene?,"Yes, a mobile phone.",Yes.,Scene Summary
9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the sauce being utilized in the cooking process?,By spreading it on flatbreads.,"The sauce is being poured over the rolled tortillas, which are being prepared for the next step in the cooking process.",Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What activity is occurring aside from food preparation?,Operating a mobile phone.,A person is using a smartphone to take a photo of the food preparation process.,Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What manual task is depicted involving food items?,"Cutting vegetables, specifically tomatoes.",The manual task depicted involves rolling tortillas and scooping filling from a pot on the stove.,Action Caption
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is someone chopping vegetables in the video?,Yes.,Yes.,Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the sauce being poured into a bowl?,"No, it's being rolled in flatbreads.","No, the sauce is being poured into a pan on the stove.",Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is a cooking activity happening in a bedroom?,"No, it's happening in a kitchen.","No, the kitchen is not a bedroom; it is a cooking activity taking place in a kitchen.",Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the frame capture the act of grilling or frying?,No.,"No, the frame captures the act of grilling or frying, as the person is seen grilling the tortillas on the stove.",Whether Something Happened(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,"In the video, are vegetables cut before the heat regulator is operated?",Yes,"Yes, the vegetables are cut before the heat regulator is operated.",Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does rolling sauce in flatbreads occur after cutting tomatoes?,Yes,"Yes, after cutting tomatoes, the rolling sauce in flatbreads is added to the pan.",Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the opening of the drawers happen before using the mobile phone?,No,"Yes, the opening of the drawers happens before using the mobile phone.",Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the heat regulator operated before rolling sauce in flatbreads?,No,"Yes, the heat regulator is turned on before rolling sauce in flatbreads.",Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs just before rolling sauce in flatbreads?,Cutting tomatoes with a knife.,"Just before rolling sauce in flatbreads, the person places a tortilla on the pan and starts to roll it.",What event order
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What happens just before operating the heat regulator?,Cutting vegetables with knives.,"Just before operating the heat regulator, the person places the tortilla on the pan and adjusts the heat setting.",What event order
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is done just before opening drawers in the kitchen?,Operating the heat regulator of the cooker.,"Just before opening drawers, the person is seen holding a tortilla, preparing to place it into the pot.",What event order
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What activity occurs just before operating a mobile phone?,Rolling sauce in flatbreads.,"Just before operating a mobile phone, the person is seen holding a tortilla, preparing to wrap it with the filling.",What event order
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the cabinet opened before the vegetables are chopped?,No,Yes.,Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does operating the heat regulator happen after chopping vegetables?,Yes,"Yes, the heat regulator is turned on, and the person is seen adjusting the heat to ensure the food is cooked evenly.",Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is wrapping sauce in flat bread before cutting vegetables?,No,"Yes, wrapping sauce is in the flat bread before cutting vegetables.",Order Judging(Y/N)
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I use the mobile phone before opening drawers?,Yes,"Yes, you use the mobile phone before opening drawers.",Order Judging(Y/N)
