"video_id","question","answer","pred_answer","task"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What task is being performed with vegetables?","Chopping vegetables.","The task being performed with vegetables is chopping them.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What step is being taken with flatbread?","Wrapping sauce in flatbread.","The person is preparing to place flatbread into a pan, likely to be cooked or baked.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What kitchen fixture is being utilized?","Opening a cabinet.","A stove is being utilized in the kitchen.","Scene Summary"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What's the overview of the action in the clip?","Preparing ingredients for a meal.","The clip shows a person preparing a dish in a kitchen, starting with the preparation of a dish that includes a mixture of vegetables and possibly meat, followed by the addition of oil to the mixture. The person then adds a bowl of chopped vegetables and a white bowl containing a mixture of chopped vegetables to the dish. The scene continues with the person adding a bowl of chopped vegetables to the dish, and the preparation of a bowl of chopped vegetables. The person then adds a bowl of chopped vegetables to the dish, and the preparation of a bowl of chopped vegetables to the dish. The scene concludes with the person adding a bowl of chopped vegetables to the dish, and the preparation of a bowl of chopped vegetables to the dish.","Action Caption"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Does the video show someone chopping vegetables?","Yes.","Yes, the video shows someone chopping vegetables on the counter.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Did the individual successfully open a kitchen cabinet?","Yes.","Yes, the individual successfully opened a kitchen cabinet to access additional ingredients.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the flatbread being seasoned with sauce?","Yes.","Yes","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is there an occurrence of food being wrapped?","Yes.","Yes, there is an occurrence of food being wrapped in the video.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","Is the person using a knife for cooking tasks?","Yes.","Yes, the person is using a knife for chopping ingredients and preparing the food.","Whether Something Happened(Y/N)"
"9198b9a4-8d8f-4ba6-9924-4c86982d890a","What is the location in the video clip?","A kitchen.","The location in the video clip is a kitchen.","Scene Summary"
